,ID,tanggal,judul,narasi,nama file gambar,true_judul,label
0,56,2020-08-19 0:00:00,Uang Rp75.000 Bukan untuk Alat Tukar,"Kado Prank. “Uang Baru”
 
 Innformasi sahih bahwa “Uang Baru” Dengan nilai Rp 75,ooo, itu bukan dimaksudkan sebagai Alat Penukar, melainkan semacam Merchandise saja, atau uang kenang-kenangan, untuk memperingati Ulang Tahun Kemerdekaan Bangsa Indonesia yang ke-75 tahun.",56.jpg,[SALAH] Uang Rp75.000 Bukan untuk Alat Tukar,1
1,1129,2020-05-07 0:00:00,Indonesia Akan Adakan Program 1 Suami 2 Istri,Indonesia Akan Adakan Program 1 Suami 2 Istri Setuju Tidak Para Istri?,1129.jpg,[SALAH] Indonesia Akan Adakan Program 1 Suami 2 Istri,1
2,8468,2020-08-01 0:00:00,Ketik GRATULA untuk memastikan akaun facebook anda dlm keadaan selamat.,"Terbaikla.Mark zuckerberg ketua pegawai eksekutif facebook mencipta perkataan baru GRATULA untuk memastikan akaun facebook anda dlm keadaan selamat. Taip GRATULA dalam komen jika merah,akaun anda masih selamat.jika ia tidak bertukar kepada warna merah, sila tukar kata laluan facebook anda.akaun anda sudah di hack! Congratulations kpd yg warna merah.",8468.png,[SALAH] “Ketik ‘GRATULA’ untuk memastikan akaun facebook anda dlm keadaan selamat.”,1
3,9527,2020-04-18 0:00:00,"FBI menggrebek sinagoge Yahudi di New York, tempat orang Yahudi menyembunyikan ribuan Masker","FBI menggrebek sinagoge (tempat ibadah) Yahudi di New York, tempat orang Yahudi menyembunyikan ribuan Masker yang diperlukan sangat di rumah sakit, semuanya masker jenis N95 Ini adalah moral mereka yang dikenal sejak zaman kuno",9527.png,"[SALAH] “FBI menggrebek sinagoge Yahudi di New York, tempat orang Yahudi menyembunyikan ribuan Masker”",1
4,11152,2017-09-14 0:00:00,: Wali Kota Pekalongan Meninggal Setelah Segel Masjid,“Wali Kota Pekalongan Meninggal Setelah Segel Masjid,11152.jpg,(HOAX) : Wali Kota Pekalongan Meninggal Setelah Segel Masjid,1
5,19051,2019-09-28 0:00:00,polisi juga dianiaya,Dikatakan cuma korbannya dari mahasiswa saja..tapi coba lihat vidio ini malah polisi jg dianiaya dan dipukuli spt itu…jgn menilai disatu sisi saja …adillah melihatnya.,19051.png,[KLARIFIKASI] “polisi juga dianiaya”,1
6,19416,2019-07-21 0:00:00,MASJID INI TERBAKAR BARU TADI,"MASJID INI TERBAKAR BARU TADI.. JIKA ANDA ISLAM KOMEN AAMIIN, YA ALLAH SELAMATKANLAH RUMAHMU INI DARI API AAMIIN…
 Bagikan 3 grup agar banyak mendoakan.",19416.png,[SALAH] MASJID INI TERBAKAR BARU TADI,1
7,19657,2019-06-11 0:00:00,Video Merry Riana Sebut Indonesia Akan Bubar,Merry riana ikut bicara. Padahal dia keturunan tiongkok… Pahami,19657.jpg,[SALAH] Video Merry Riana Sebut Indonesia Akan Bubar,1
8,21376,2018-09-02 0:00:00,"Temuan Stempel Berlogo Palu Arit, Pemkab Morowali Imbau Warga Tenang","Kasus Stempel “PALU ARIT” PT. Wanxiang, di Morowali, Sulawesi Tengah, Gubernur Minta Diusut TNI, Bukan Diusut Polisi…",21376.jpg,"[KLARIFIKASI] “Temuan Stempel Berlogo Palu Arit, Pemkab Morowali Imbau Warga Tenang”",1
9,25064,2020-07-13 0:00:00,Taman Pagoda di Tibet dan Bunga yang Mekar hanya 400 Tahun Sekali,"Sharing is caring TAMAN PAGODA – TIBET INDAHNYA CIPTAAN ILAHI Ini adalah sesuatu taman di Tibet yang bernama, Pagoda.",25064.jpg,[SALAH] Taman Pagoda di Tibet dan Bunga yang Mekar hanya 400 Tahun Sekali,1
10,27051,2019-11-08 0:00:00,Penyumbatan di usus karena konsumsi mie atau spaghetti yang disingkirkan saat dokter melakukan operasi,"Video ini telah diambil oleh Dr. Harish Shukla dari Apollo Hospitals.
 Beliau mengungkapkan, bahwa sistem pencernaan atau usus kita tidak bisa mencerna makanan sejenis MIE atau SPAGHETTI …….
 Penyumbatan di usus karena konsumsi MIE atau SPAGHETTI yang disingkirkan saat dokter melakukan operasi, sangat menakutkan",27051.png,[SALAH] Penyumbatan di usus karena konsumsi mie atau spaghetti yang disingkirkan saat dokter melakukan operasi,1
11,31720,2017-04-17 0:00:00,: Beredar Surat Peresmian Masjid Raya Jakarta,Beredar Surat Peresmian Masjid Raya Jakarta,31720.jpg,(HOAX): Beredar Surat Peresmian Masjid Raya Jakarta,1
12,33861,2020-05-10 0:00:00,50 Orang Maling Diterjunkan di Wilayah Temanggung,Waspada level awas untuk malam ini di kabarkan maling 50 orang asal Semarang di sebar di wilayah Temanggung untuk lebih waspada berita ini bukan hoax ya,33861.png,[SALAH] 50 Orang Maling Diterjunkan di Wilayah Temanggung,1
13,33866,2020-05-10 0:00:00,baru kemarin pemerintah putuskan tak larang mudik lebaran,PEMERINTAH PUTUSKAN TAK LARANG MUDIK LEBARAN,33866.png,[SALAH] “baru kemarin pemerintah putuskan tak larang mudik lebaran”,1
14,35240,2019-11-08 0:00:00,Gebrakan Menteri Kesehatan yang Baru,"*GEBRAKAN MENTERI KESEHATAN YG BARU DR TERAWAN*👍🏼👍🏼👍🏼
 Pasien BPJS dalam kondisi darurat bisa masuk DAN DITANGANI SECARA SERIUS DI rumah sakit manapun TERMASUK RS BINTANG 5 tanpa harus membayar LEBIH DAHULU.
 Dalam kondisi darurat,
 RS tidak boleh tanya tentang pembayarannya. PASIEN KONDISI DARURAT harus ditangani RS sampai maksimal baru bicara tentang Biaya.",35240.jpg,[SALAH] Gebrakan Menteri Kesehatan yang Baru,1
15,36782,2019-02-06 0:00:00,Cara Pemakaian Masker Yang Benar,"Selama ini ternyata masih banyak yg keliru,termasuk saya..",36782.png,[SALAH] Cara Pemakaian Masker Yang Benar,1
16,40674,2016-07-17 0:00:00,"Tulisan Prof. DR. Tina Afiatin, M.Psi Tentang Pokemon Go","Prof. DR. Tina Afiatin, M.Psi. (Dekan Fakultas Psikologi UGM)
 
 ANCAMAN SERIUS DARI GAME POKEMON GO
 
 Dunia sedang booming injeksi “pembodohan” bernama aplikasi game Pokemon GO.",40674.png,"(HOAX) Tulisan Prof. DR. Tina Afiatin, M.Psi Tentang Pokemon Go",1
17,42921,2019-08-05 0:00:00,DPR Bantah Buat Pengumuman Penerimaan TAA dan SAA,"Informasi diatas adalah HOAX, Setjen dan BK DPR RI tidak mengeluarkan pengumuman tersebut. Informasi dan pengumuman resmi penerimaan TA dan SAA DPR RI selalu di umumkan web resmi DPR RI di www.dpr.go.id#StopHoax",42921.png,[KLARIFIKASI] DPR Bantah Buat Pengumuman Penerimaan TAA dan SAA,1
18,47102,2018-02-21 0:00:00,Tagor Nainggolan Cecunguk Jongos Luhut Banser Panjaitan,"TAGOR NAINGGOLAN CECUNGUK@ JONGOS LUHUT BANSER PANJAITAN.
 TAGOR INI KETUA ASOSIASI ANGKOT YG PALING LANTANG KRITIK SEGALA KEBIJAKAN GUBERNUR ANIES SANDI.
 Ternyata si JAGO KOMEN ini “PKI” mana penegak hukum nih,… POLISI pade kemane nih?
 →→→→JAWABAN PAK POLISI..
 NIHH,POLISI lagi MEETING sama James Riyadi @ LippoGroup..untuk memenangkan Calon Gubernur PKI..ehh maaf,,PDIP di Pilkada Jabar..
 Ide Status via UMCA
 Editor © HSZ18",47102.png,[HOAX] “Tagor Nainggolan Cecunguk Jongos Luhut Banser Panjaitan”,1
19,47700,2017-11-04 0:00:00,Spanduk ADEK-ADEK KORUPSI TIDAK DILARANG... di Gedung KPK,"ADEK-ADEK KORUPSI TIDAK DILARANG KALO KETAHUAN BALIKIN LAGI AJA PSST, JANGAN BILANG-BILANG YA KASIH CONTOH AJA KASUS SUMBER WARAS”",47700.jpg,[HOAX] Spanduk “ADEK-ADEK KORUPSI TIDAK DILARANG…” di Gedung KPK,1
20,49268,2020-08-14 0:00:00,"Video Penghijauan di Pakistan yang Salah jenis Pohonnya, Seharusnya Jangan Cemara, Kurma Lebih Tepat ","Penghijauan di Pakistan yang salah jenis pohonnya, seharusnya jangan cemara, kurma lebih tepat ….",49268.jpg,"[SALAH] Video “Penghijauan di Pakistan yang Salah jenis Pohonnya, Seharusnya Jangan Cemara, Kurma Lebih Tepat ”",1
