,ID,label,tanggal,judul,narasi,nama file gambar
1657,377691,1,2020-06-02 00:00:00,Puan Maharani Menambahkan Kata Pro Rakyat Dalam Pembukaan UUD 1945,"Puan Maharani Tambahkan “Pro Rakyat” di Akhir Pembukaan UUD 45, Iwan Sumule: Ini Kejahatan Konstitusi!",377691.png
463,105283,0,2017-09-04 00:00:00,Bawa Langsung Lansia ke Rumah Lansia Atmabrata,"Teman2 terkasih, kalau kenal/tahu lansia yg tidak punya rumah, tdk ada keluarga yg urus, atau tidak punya tempat berteduh, boleh bawa ke Rumah Lansia Atmabrata di Jln. Cilincing Baru 5 No: 29, Jakarta yg dikelola oleh. Bruder Petrus Partono dan tim. HP Bruder Petrus : (+62)8212 5141 621. Tidak pandang suku dan agama, siapa saja boleh mendapatkan tempat berteduh, makanan, pengobatan, dan perhatian.
 Bantu share ke grup lain..:pray:”",105283.png
468,106505,1,2020-08-24 00:00:00,Pesan Singkat Perihal Biaya Asuransi Kirim Barang di JNE Senilai Jutaan Rupiah,"Barang yang dikirim melalui jasa Jalur (JNE), pihak JNE menyediakan layanan asuransi bagi para pelanggan. Dengan asuransi tersebut, Setiap Barang Yang Berjumlah 5 Dus Harus Melengkapi Asuransi Selama PSBBKarnah Barang ditahan dalam pengiriman jika tidak menyertai dengan Asuransi selaku pelanggan dibebankan untuk semnetara sesuai aturan yang diberlakukan oleh JNE mengurus biaya asuransi sementara senilai rp1.750.000 dan biaya asuransi ini hanya biaya yang bersifat semnetara yang dibebankan kepada pemilik barang",106505.png
2510,584995,1,2019-05-20 00:00:00,"Ribuan Warga Tasik jalan kaki menuju Jakarta untuk Aksi Kedaulatan Rakyat, 21-22 Mei di KPU RI","Jalan kaki menuju Jakarta untuk Aksi Kedaulatan Rakyat, 21-22 Mei di KPU RI.
AllahuAkbar…",584995.png
251,57915,1,2020-07-07 00:00:00,Breaking News: Megawati Mengundurkan Diri Dari Ketua Umum PDIP,"Disaat_umat_ISLAM_lagi_gencar_menyerang_Moncong_Putih,_tiba-tiba_Megawati_mengundurkan_diri_dari_Ketua_Umum_PDIP… Ada ya dengan mbak mega…",57915.png
683,157924,1,2019-12-15 00:00:00,Iblis ini masuk daftar hitam,"Iblis ini masuk daftar hitam !
 
 Min Aung Hlaing, panglima semua kejahatan di Myanmar harus diadili, jangan sampai dia berkeliaran dengan bebas.
 
 Genosida terhadap Rohingya dan kejahatan perang terhadap kelompok etnis terjadi di bawah perintahnya..
 lihat dan ingat wajah ini,lihat",157924.png
3306,777884,0,2016-11-01 00:00:00,: Jangan Percaya Posting Palsu Provokatif di Medsos!,"“Ahok Lepas 50 Marbut Masjid di Jakarta untuk Umrah di Makkah,” diedit menjadi: “Ahok Lepas 50 Marbut Masjid di Jakarta, Bohong.",777884.jpg
621,142967,1,2019-03-26 00:00:00,Prabowo mengeluarkan kalimat yang merendahkan kaum miskin di Indonesia,"Lihat saja video ini.
Prabowo benar-benar mengeluarkan kalimat yang merendahkan kaum miskin di Indonesia.",142967.png
1912,444277,1,2020-02-17 00:00:00,SOLAT JUMAT DI BALIK VIRUS CORONA,"MASYA ALLAH DI BALIK VIRUS CORONA SEKARANG DI CINA SANGGUP BER DESAK2 KAN, SOLAT JUM’AT SAMPAI KEJALAN JALAN…",444277.png
1862,430009,1,2019-02-05 00:00:00,Es Krim Magnum Mengandung Babi,Kiriman dr pa2 beberapa makanan dan minuman yg tdk boleh dikonsumsi,430009.png
1536,352993,1,2020-06-17 00:00:00,Servis Mobil Gratis Suzuki Peduli Covid s.id/SuzukiPeduliCovid,SUZUKI PEDULI COVID DAPATKAN PERAWATAN GRATIS MOBIL SUZUKI DI DEALER RESMI SELAMA MASA PANEMI CORONA,352993.png
2683,632933,1,2020-01-03 00:00:00,"Judul berita Tempo MUI minta agar jangan bermain terompet dan mercon saat tahun baru, cukup teriak TOOT dan DOR dengan keras...","MUI minta agar jangan bermain terompet dan mercon saat tahun baru, cukup teriak ‘TOOT’ dan ‘DOR’ dengan keras",632933.png
325,74540,1,2020-06-08 00:00:00,Ide alquran nusantara sdh mulai direalisasikan,Innalillahi wa innaillaihi roojiuun…. Ide alqur’an nusantara sdh mulai direalisasikan Astagfirullah…,74540.png
682,157725,1,2020-01-15 00:00:00,proses beras plastik,"proses beras plastik
 
 hati hati dlm membeli beras..!!",157725.png
